Produto,Estação,Quantidade
Chuteira,Outono,99
Capacete de ciclismo,Primavera,82
Taco de baseball,Outono,81
Chuteira,Primavera,52
Bola,Outono,39
Raquete de tênis,Verão,19
Luvas de boxe,Verão,28
Caneleira,Inverno,16
Bola,Outono,17
Luvas de boxe,Verão,88
Chuteira,Outono,55
Bola,Primavera,13
Corda de pular,Outono,16
Bola,Inverno,16
Capacete de ciclismo,Inverno,86
Chuteira,Verão,71
Raquete de tênis,Inverno,94
Bola,Inverno,17
Capacete de ciclismo,Primavera,43
Caneleira,Inverno,45
Chuteira,Primavera,45
Óculos de natação,Verão,21
Capacete de ciclismo,Verão,27
Taco de baseball,Verão,43
Caneleira,Inverno,40
Óculos de natação,Primavera,59
Luvas de boxe,Verão,61
Raquete de tênis,Outono,68
Caneleira,Inverno,56
Óculos de natação,Inverno,86
Óculos de natação,Verão,24
Taco de baseball,Inverno,48
Caneleira,Outono,72
Corda de pular,Primavera,82
Bicicleta,Primavera,57
Luvas de boxe,Verão,83
Caneleira,Outono,88
Caneleira,Verão,47
Bola,Inverno,19
Bicicleta,Outono,62
